"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turó de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934209913","Fax","","","","","","","",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turó de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934293921","#","","","","","","","",
"19112356","Llar d'Infants Els Gegants","#","Pg","Zona Franca","168","168","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.360236","2.139624","428036.075","4579104.949","428127.986","4579305.856","932964818","#","","","","","","","",
"19181742","Parvulari Pandy de Sant Marc","#","C","Provença","525","525","06","la Sagrada Família","02","Eixample","08025","019","BARCELONA","41.408155","2.178837","431366.425","4584393.071","431458.365","4584594.027","933477939","#","","","","","","","",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248442","#","","","","","","","",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248441","Fax","","","","","","","",
"1299090907","Llar d'Infants Xiulet","#","C","Entença","100","100","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380279","2.149985","428924.543","4581321.563","429016.462","4581522.49","934234448","#","","","","","","","",
"2093120653","Escola Bressol Municipal Portal Nou","#","C","Portal Nou","2","2","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388267","2.180724","431503.269","4582183.593","431595.211","4582384.529","933101807","#","","","","","","","",
"2093120848","Escola Bressol Municipal Els Tres Tombs","#","C","Manso","28","28","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376275","2.16082","429826.218","4580868.211","429918.145","4581069.134","933250913","#","","","","","","","",
"2093121443","Escola Bressol Municipal L'Oreneta","#","Pg","Santa Eulàlia","18","18","23","Sarrià","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.405268","2.115342","426056.136","4584124.79","426148.028","4584325.742","932804683","#","","","","","","","",
