"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"F002","Mercats i centres comercials","Mercats i fires al carrer","430950.166","4583912.52","430858.23","4583711.57","2.172835","41.401973","02","06","Eixample","la Sagrada Família","Mostra de Pintors Afeccionats *Pl Sagrada Família","Pl Sagrada Família, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","427324.234","4582111.423","427232.331","4581910.491","2.129679","41.385432","04","19","Les Corts","les Corts","Fira Espai d'Art *Plaça Comas","Pl Comas, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","430133.493","4588313.844","430041.566","4588112.853","2.162557","41.441543","08","49","Nou Barris","Canyelles","Petit Mercat de Canyelles","C Antonio Machado, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","430773.378","4587986.651","430681.445","4587785.663","2.170254","41.438652","08","48","Nou Barris","la Guineueta","Fira del Llibre i Filatèlia de Nou Barris","Pg Valldaura, 186*190","933533251"
"F002","Mercats i centres comercials","Mercats i fires al carrer","431099.673","4581476.891","431007.735","4581275.963","2.174901","41.38005","01","02","Ciutat Vella","el Barri Gòtic","Mercat de Numismàtica i Filatèlia *Plaça Reial","Pl Reial, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","431141.706","4581893.707","431049.768","4581692.776","2.175356","41.383807","01","02","Ciutat Vella","el Barri Gòtic","Mercat Gòtic Antiguitats *Plaça Nova","Pl Nova, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","427671.62","4584499.791","427579.714","4584298.836","2.133547","41.406974","05","25","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Fira Petit Artesà *Plaça Bonanova","Pl Bonanova, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","427348.906","4582075.66","427257.003","4581874.728","2.129978","41.385112","04","19","Les Corts","les Corts","Fira de Menjar Artesanal  La Dama d'Or *Plaça Comas","Pl Comas, 7*8",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","431213.409","4581091.476","431121.47","4580890.552","2.176305","41.376588","01","01","Ciutat Vella","el Raval","Fira Nova Artesania *Rambles","C la Rambla, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","430856.541","4581805.239","430764.605","4581604.309","2.171956","41.382986","01","02","Ciutat Vella","el Barri Gòtic","Mercat de les Flors *Les Rambles","C la Rambla, 116",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","431101.636","4584240.326","431009.699","4584039.373","2.17461","41.404939","02","06","Eixample","la Sagrada Família","Fira Tradicional de Productes Naturals de la Plaça Sagrada Família","Av Gaudí, 2",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","429999.571","4581433.952","429907.643","4581233.025","2.161751","41.379568","02","10","Eixample","Sant Antoni","Mercat Dominical de Sant Antoni","C Comte d'Urgell, 1","934234287"
"F002","Mercats i centres comercials","Mercats i fires al carrer","431363.423","4580874.982","431271.482","4580674.06","2.178123","41.374651","01","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Fira Brocanters *Moll de les Drassanes","Moll Drassanes, 1","617077703"
"F002","Mercats i centres comercials","Mercats i fires al carrer","430577.057","4581485.023","430485.124","4581284.096","2.168651","41.380078","01","01","Ciutat Vella","el Raval","Mercat Alternatiu per a Joves *Riera Baixa","C Riera Baixa, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","426731.473","4583750.999","426639.576","4583550.052","2.122391","41.400145","05","23","Sarrià-Sant Gervasi","Sarrià","Fira de Llibre Vell *Plaça de Sarrià","Pl Sarrià, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","432267.981","4584576.084","432176.033","4584375.127","2.188525","41.408062","10","65","Sant Martí","el Clot","Fira d'Artesans del Clot *Pl Font i Sagué","Pl Font i Sagué, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","432022.681","4583801.279","431930.735","4583600.33","2.185677","41.401063","02","05","Eixample","el Fort Pienc","Mercat Encants Vells Fira de Bellcaire","C Castillejos, 158","932463030"
"F002","Mercats i centres comercials","Mercats i fires al carrer","432407.531","4587628.494","432315.583","4587427.509","2.189853","41.435566","09","60","Sant Andreu","Sant Andreu","Mercat de Pintors de Sant Andreu","Pl Comerç, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","426731.473","4583750.999","426639.576","4583550.052","2.122391","41.400145","05","23","Sarrià-Sant Gervasi","Sarrià","Mostra d'Art *Plaça de Sarrià","Pl Sarrià, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","430232.252","4580946.499","430140.322","4580745.577","2.16459","41.375198","02","10","Eixample","Sant Antoni","Gremi d'Industrials Firaires de Barcelona i Província - Gremi Firaires de Catalunya","Av Paral.lel, 104","934419397"
"F002","Mercats i centres comercials","Mercats i fires al carrer","432945.876","4585835.043","432853.922","4585634.075","2.196495","41.419458","10","72","Sant Martí","Sant Martí de Provençals","Petit Mercat de Provençals","C Menorca, 19*23","932916000"
"F002","Mercats i centres comercials","Mercats i fires al carrer","428403.859","4582298.021","428311.946","4582097.087","2.142568","41.387209","04","19","Les Corts","les Corts","Fira de Brocanters *Josep Tarradellas","Av Josep Tarradellas, 101",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","432407.539","4587628.493","432315.591","4587427.508","2.189853","41.435566","09","60","Sant Andreu","Sant Andreu","Fira d'Artesania Rosa de Maig","Pl Comerç, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","428263.821","4578486.49","428171.908","4578285.591","2.141344","41.352868","03","12","Sants-Montjuïc","la Marina del Prat Vermell","Petit Mercat de la Zona Franca","Pl Nou, 1","932914256"
"F002","Mercats i centres comercials","Mercats i fires al carrer","431907","4581582","431815.055","4581381.071","2.184543","41.381065","01","03","Ciutat Vella","la Barceloneta","Fira d'Artesans Moll de Dipòsit","Pl Pau Vila, 1",""
"F002","Mercats i centres comercials","Mercats i fires al carrer","427528.758","4582271.404","427436.853","4582070.47","2.132105","41.386891","04","19","Les Corts","les Corts","Fira d'Artesans de la Terra *Plaça Concòrdia","Pl Concòrdia, 1",""
