"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"23h","Bona","86 µg/m³",NA,NA,NA,"01/01/2019 0:00",1546297502
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"23h","Bona","3 µg/m³","23h","Regular","112 µg/m³","23h","Bona","36 µg/m³","01/01/2019 0:00",1546297502
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"23h","Bona","3 µg/m³","23h","Regular","113 µg/m³","23h","Regular","39 µg/m³","01/01/2019 0:00",1546297502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"23h","Bona","2 µg/m³","23h","Bona","74 µg/m³",NA,NA,NA,"01/01/2019 0:00",1546297502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"23h","Bona","10 µg/m³","23h","Bona","67 µg/m³","23h","Bona","12 µg/m³","01/01/2019 0:00",1546297502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","1 µg/m³","0h","Bona","65 µg/m³","0h","Bona","15 µg/m³","01/01/2019 0:00",1546297502
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","62 µg/m³","0h","Bona","34 µg/m³","01/01/2019 0:00",1546297502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","86 µg/m³","0h","Bona","3 µg/m³","0h","Bona","7 µg/m³","01/01/2019 0:00",1546297502
"Barcelona - Sants","Regular","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Regular","95 µg/m³",NA,NA,NA,"01/01/2019 1:00",1546301102
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"0h","Bona","4 µg/m³","0h","Regular","127 µg/m³","1h","Bona","36 µg/m³","01/01/2019 1:00",1546301102
"Barcelona - Gràcia","Regular","IJ","01","08019044",2.1534,41.3987,"0h","Bona","3 µg/m³","0h","Regular","96 µg/m³","1h","Regular","39 µg/m³","01/01/2019 1:00",1546301102
