Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_mediata,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2018S009653    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes                          ,102-112   ,Dimarts,Dm,Laboral,2018,12,Desembre,18,6,Matí,Alcoholèmia,424026.58 ,4586957.76,2.089608,41.428747
2018S000730    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",73139,Vimetera / Gespa                                  ,,Dissabte,Ds,Laboral,2018,1,Gener,27,10,Matí,No hi ha causa mediata,424044.33 ,4586368.63,2.089894,41.423443
2018S009722    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes                          ,K63       ,Dijous,Dj,Laboral,2018,12,Desembre,20,4,Nit,Alcoholèmia,424125.69 ,4586916.42,2.090799,41.428384
2018S004776    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes                          ,58-96     ,Dijous,Dj,Laboral,2018,6,Juny,21,15,Tarda,No hi ha causa mediata,424200.01 ,4586750.4 ,2.091709,41.426896
2018S007190    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes                          ,K57       ,Dimarts,Dm,Laboral,2018,9,Setembre,25,10,Matí,No hi ha causa mediata,424382.52 ,4586337.05,2.093945,41.42319
2018S001254    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",188753,Vesc                                              ,12,Dijous,Dj,Laboral,2018,2,Febrer,15,11,Matí,No hi ha causa mediata,424425.38 ,4586535.42,2.094433,41.424981
2018S000180    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",206458,Major del Rectoret                                ,53,Dilluns,Dl,Laboral,2018,1,Gener,8,15,Tarda,No hi ha causa mediata,424521.53 ,4586541.21,2.095583,41.425042
2018S000024    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes / Major del Rectoret     ,,Dimarts,Dm,Laboral,2018,1,Gener,2,9,Matí,No hi ha causa mediata,424565.61 ,4586045.6 ,2.096172,41.420583
2018S009410    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes / Major del Rectoret     ,,Dilluns,Dl,Laboral,2018,12,Desembre,10,10,Matí,No hi ha causa mediata,424565.61 ,4586045.6 ,2.096172,41.420583
2018S002520    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",206458,Major del Rectoret                                ,165,Dimarts,Dm,Laboral,2018,4,Abril,3,9,Matí,No hi ha causa mediata,424580.47 ,4587255.6 ,2.096199,41.431482
2018S000820    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes                          ,4,Dimecres,Dc,Laboral,2018,1,Gener,31,0,Nit,No hi ha causa mediata,424706.13 ,4585883.9 ,2.097874,41.41914
